"study","college","origin","distance","area","washroom","rent","neighborhood","course"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",31.5,1,770,"1002","ASC-U-091"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",30.5,1,840,"1053","ENG-U-010"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",25,0,610,"1031","ASC-U-046"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",29.5,1,740,"1046","ASC-G-002"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",28.5,1,860,"2013","ENG-U-006"
"Grad","Veterinary Medicine","Saskatchewan","15-30 minutes",31,1,1270,"2032","VET-G-003"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",27.5,0,730,"2016","ENG-U-012"
"Grad","Public Policy","Saskatchewan","15-30 minutes",37.5,0,1040,"2019","POL-G-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",42.5,0,890,"2033","ASC-U-106"
"Undergrad","Education","Saskatchewan","15-30 minutes",49,1,1220,"2017","EDU-U-015"
"Undergrad","Arts and Science","International","less than 15 minutes",43,0,1100,"3003","ASC-U-093"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",22,0,530,"1047","PHARM-U-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27,0,480,"1053","ASC-U-102"
"Undergrad","Pharmacy & Nutrition","International","more than 45 minutes",29,0,410,"0011","PHARM-U-003"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",27.5,1,760,"1042","KIN-U-007"
"Undergrad","Medicine","Saskatchewan","15-30 minutes",50,0,1310,"2020","MED-U-002"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",33.5,0,1140,"3005","ASC-U-130"
"Undergrad","Medicine","Saskatchewan","more than 45 minutes",31.5,0,500,"0001","MED-U-007"
"Undergrad","Agriculture & Bioresources","Out of Province","30-45 minutes",33.5,1,910,"1042","AGR-U-007"
"Grad","Medicine","Saskatchewan","more than 45 minutes",33.5,0,500,"0017","MED-G-004"
"Undergrad","Education","International","15-30 minutes",20,0,580,"2020","EDU-U-009"
"Undergrad","Pharmacy & Nutrition","International","more than 45 minutes",31.5,0,610,"0020","PHARM-U-005"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","15-30 minutes",17.5,1,670,"2020","PHARM-U-003"
"Undergrad","Law","International","30-45 minutes",28.5,0,720,"1051","LAW-U-005"
"Grad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",41.5,1,1180,"1012","PHARM-G-001"
"Undergrad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",25,0,430,"0011","AGR-U-019"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",26,1,860,"2031","ENG-U-017"
"Grad","Arts and Science","Out of Province","less than 15 minutes",23,0,490,"3005","ASC-G-011"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",49,0,1140,"1019","ASC-U-084"
"Grad","Education","Saskatchewan","more than 45 minutes",27.5,0,660,"0013","EDU-G-003"
"Undergrad","Arts and Science","International","30-45 minutes",26.5,1,690,"1043","ASC-U-117"
"Undergrad","Business","Saskatchewan","15-30 minutes",36.5,0,770,"2028","BUS-U-034"
"Undergrad","Business","Out of Province","30-45 minutes",37,0,810,"1051","BUS-U-034"
"Undergrad","Veterinary Medicine","International","30-45 minutes",30.5,0,850,"1005","VET-U-001"
"Undergrad","Education","Saskatchewan","less than 15 minutes",33,1,990,"3009","EDU-U-018"
"Undergrad","Agriculture & Bioresources","Saskatchewan","less than 15 minutes",42.5,1,1260,"3008","AGR-U-021"
"Undergrad","Education","Out of Province","15-30 minutes",34,0,800,"2026","EDU-U-003"
"Undergrad","Business","Saskatchewan","15-30 minutes",40,1,1230,"2025","BUS-U-016"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",30,1,670,"1018","ASC-U-029"
"Undergrad","Education","Saskatchewan","more than 45 minutes",25.5,0,440,"0010","EDU-U-018"
"Undergrad","Pharmacy & Nutrition","International","30-45 minutes",31,1,820,"1033","PHARM-U-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",22,0,450,"1004","ASC-U-065"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",31,1,530,"1035","ASC-U-096"
"Undergrad","Arts and Science","International","more than 45 minutes",34.5,1,760,"0008","ASC-U-082"
"Undergrad","Business","International","15-30 minutes",34.5,1,730,"2006","BUS-U-021"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",26.5,1,560,"1006","ASC-G-006"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",32,0,610,"0012","NUR-U-002"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",32.5,1,860,"1007","NUR-U-016"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",37,0,880,"1004","ASC-U-107"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",45,0,1080,"2003","ASC-U-071"
"Undergrad","Business","Out of Province","15-30 minutes",43.5,1,1800,"2010","BUS-U-009"
"Undergrad","Law","Out of Province","30-45 minutes",30,1,840,"1035","LAW-U-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",44,0,880,"1014","ASC-U-027"
"Undergrad","Education","Out of Province","30-45 minutes",41.5,0,870,"1049","EDU-U-022"
"Undergrad","Business","Saskatchewan","less than 15 minutes",26,0,840,"3009","BUS-U-009"
"Undergrad","Business","Out of Province","30-45 minutes",31,0,590,"1010","BUS-U-019"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",26.5,1,1270,"3002","ASC-U-097"
"Grad","Education","Out of Province","30-45 minutes",37.5,0,740,"1007","EDU-G-009"
"Undergrad","Business","Saskatchewan","15-30 minutes",20.5,0,510,"2021","BUS-U-005"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",47.5,1,1110,"0021","ENG-U-019"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",33.5,1,820,"2003","ASC-U-041"
"Undergrad","Business","Saskatchewan","30-45 minutes",34,1,760,"1032","BUS-U-035"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",26.5,0,670,"1025","ENG-U-016"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",30.5,0,860,"3007","ASC-U-066"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",29.5,1,890,"2033","ASC-U-132"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",22.5,1,450,"1009","ASC-U-085"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",35.5,0,610,"1052","ENG-U-010"
"Grad","Nursing","Saskatchewan","more than 45 minutes",23,1,540,"0013","NUR-G-003"
"Grad","Education","Saskatchewan","30-45 minutes",22.5,1,660,"1008","EDU-G-004"
"Undergrad","Education","Out of Province","30-45 minutes",22,1,490,"1046","EDU-U-022"
"Undergrad","Business","Out of Province","15-30 minutes",30.5,0,790,"2035","BUS-U-031"
"Undergrad","Education","Saskatchewan","30-45 minutes",39,1,1160,"1050","EDU-U-003"
"Undergrad","Business","Saskatchewan","30-45 minutes",33,0,590,"1052","BUS-U-032"
"Undergrad","Arts and Science","International","15-30 minutes",20.5,0,650,"2011","ASC-U-095"
"Undergrad","Education","Saskatchewan","15-30 minutes",31,1,960,"2001","EDU-U-012"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",24,1,610,"2025","ASC-U-055"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",25.5,1,450,"0010","ASC-U-028"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",24.5,1,730,"2013","ENG-U-023"
"Undergrad","Nursing","Out of Province","30-45 minutes",45.5,1,1410,"1025","NUR-U-009"
"Undergrad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",24,0,580,"0003","AGR-U-012"
"Undergrad","Business","Saskatchewan","30-45 minutes",26,1,870,"1053","BUS-U-005"
"Undergrad","Pharmacy & Nutrition","Out of Province","30-45 minutes",24,1,620,"1003","PHARM-U-004"
"Undergrad","Business","International","more than 45 minutes",23.5,1,500,"0021","BUS-U-020"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",31.5,1,710,"0008","ENG-U-023"
"Grad","Education","International","less than 15 minutes",38.5,0,1410,"3010","EDU-G-004"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",42.5,1,1700,"0008","ENG-U-011"
"Undergrad","Arts and Science","International","15-30 minutes",32.5,0,720,"2009","ASC-U-002"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",29,0,750,"1052","NUR-U-010"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",59,1,1690,"1017","ASC-G-012"
"Undergrad","Nursing","Out of Province","less than 15 minutes",27,1,1090,"3005","NUR-U-001"
"Undergrad","Law","Saskatchewan","more than 45 minutes",29.5,0,410,"0022","LAW-U-005"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",29,0,700,"3010","ASC-U-089"
"Undergrad","Veterinary Medicine","Saskatchewan","30-45 minutes",65,0,1430,"1040","VET-U-002"
"Undergrad","Education","Out of Province","more than 45 minutes",36,1,620,"0013","EDU-U-016"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",26.5,0,560,"2001","AGR-U-007"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",17.5,0,400,"1047","ASC-U-032"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",27.5,0,480,"0010","ASC-U-046"
"Undergrad","Arts and Science","International","more than 45 minutes",25.5,1,660,"0008","ASC-U-031"
"Grad","Education","Saskatchewan","30-45 minutes",43,0,850,"1037","EDU-G-009"
"Undergrad","Business","Saskatchewan","15-30 minutes",41,0,1650,"2014","BUS-U-015"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",37,1,850,"2004","AGR-U-012"
"Undergrad","Business","Saskatchewan","15-30 minutes",28.5,0,620,"2018","BUS-U-015"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",48,0,830,"1008","ASC-U-116"
"Grad","Education","Saskatchewan","more than 45 minutes",38.5,1,790,"0021","EDU-G-008"
"Undergrad","Education","Out of Province","more than 45 minutes",29,1,660,"0003","EDU-U-006"
"Undergrad","Business","Saskatchewan","30-45 minutes",23,0,560,"1035","BUS-U-032"
"Undergrad","Business","Saskatchewan","30-45 minutes",21.5,1,650,"1036","BUS-U-001"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",29.5,1,480,"1046","ASC-U-015"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",27,0,430,"1004","ASC-G-012"
"Undergrad","Arts and Science","International","30-45 minutes",29.5,0,710,"1038","ASC-U-106"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",27.5,0,430,"0005","ASC-U-058"
"Med Residents","Medicine","Saskatchewan","15-30 minutes",35.5,0,830,"2031","MED-M-003"
"Grad","Environment & Sustainability","Saskatchewan","more than 45 minutes",31,0,710,"0005","ENV-G-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",33,1,700,"1035","ASC-U-131"
"Grad","Education","Saskatchewan","more than 45 minutes",30,1,740,"0013","EDU-G-009"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",19.5,0,640,"3010","ASC-U-132"
"Undergrad","Law","Saskatchewan","15-30 minutes",35.5,0,840,"2014","LAW-U-001"
"Grad","Public Policy","Saskatchewan","30-45 minutes",24.5,0,590,"1006","POL-G-001"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",29.5,0,850,"2028","ASC-G-006"
"Undergrad","Arts and Science","International","30-45 minutes",22.5,1,510,"1004","ASC-U-035"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",33,0,660,"1024","ASC-U-139"
"Undergrad","Business","Saskatchewan","more than 45 minutes",35.5,0,620,"0017","BUS-U-022"
"Undergrad","Business","Out of Province","less than 15 minutes",29,0,900,"3007","BUS-U-011"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",46,1,1120,"2030","ASC-G-001"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",32,0,780,"2020","AGR-U-017"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",27.5,0,640,"1050","MED-M-005"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",22.5,1,700,"1014","MED-M-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",50.5,0,1140,"1039","ASC-U-046"
"Undergrad","Business","Saskatchewan","15-30 minutes",29,0,770,"2020","BUS-U-030"
"Undergrad","Arts and Science","International","15-30 minutes",31.5,0,780,"2010","ASC-U-074"
"Undergrad","Education","Saskatchewan","15-30 minutes",40,0,940,"2021","EDU-U-016"
"Undergrad","Education","Saskatchewan","30-45 minutes",22,1,450,"1005","EDU-U-013"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",27.5,1,590,"1011","NUR-U-004"
"Grad","Engineering","International","more than 45 minutes",23,0,400,"0010","ENG-G-001"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",30.5,1,1440,"2031","ASC-U-057"
"Undergrad","Business","Saskatchewan","30-45 minutes",46,0,1150,"1037","BUS-U-018"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",36.5,0,820,"1031","ASC-U-079"
"Undergrad","Business","International","15-30 minutes",41,1,1160,"2010","BUS-U-015"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",20.5,1,540,"0014","ASC-U-086"
"Undergrad","Arts and Science","International","less than 15 minutes",35.5,0,830,"3009","ASC-U-016"
"Grad","Education","Saskatchewan","30-45 minutes",20,0,460,"1021","EDU-G-008"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",31,0,640,"1008","KIN-U-002"
"Undergrad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",41.5,1,1640,"0014","AGR-U-018"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",28.5,0,570,"2028","ASC-G-009"
"Undergrad","Business","Saskatchewan","less than 15 minutes",27.5,0,860,"3009","BUS-U-021"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",30.5,1,740,"0001","ASC-U-101"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",20,0,570,"0020","ASC-U-122"
"Grad","Arts and Science","International","30-45 minutes",48.5,1,880,"1008","ASC-G-009"
"Grad","Environment & Sustainability","Saskatchewan","30-45 minutes",31.5,0,610,"1037","ENV-G-003"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",36,0,1440,"2034","AGR-U-002"
"Undergrad","Business","Saskatchewan","15-30 minutes",30.5,0,820,"2021","BUS-U-039"
"Grad","Engineering","International","15-30 minutes",33,0,710,"2008","ENG-G-001"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",31.5,0,730,"2008","ASC-U-038"
"Grad","Public Health","International","less than 15 minutes",28.5,0,680,"3007","HEA-G-002"
"Undergrad","Education","International","30-45 minutes",16,0,590,"1018","EDU-U-004"
"Undergrad","Agriculture & Bioresources","Out of Province","more than 45 minutes",29,0,550,"0005","AGR-U-006"
"Undergrad","Education","Saskatchewan","more than 45 minutes",24.5,1,650,"0010","EDU-U-013"
"Undergrad","Education","Out of Province","more than 45 minutes",28,0,520,"0021","EDU-U-018"
"Grad","Engineering","Out of Province","15-30 minutes",32,1,1020,"2024","ENG-G-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",29.5,1,730,"1050","ASC-U-052"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",29,1,860,"2027","ASC-U-103"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",28,1,820,"2002","NUR-U-021"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",19,1,650,"2021","ASC-U-096"
